h1n1_worry,is_health_worker,sex,h1n1_awareness,race,wash_hands_frequently
Somewhat worried,Not a Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not worried at all,Health Worker,Female,Good Knowledge,White,Yes
Not very worried,Health Worker,Male,Good Knowledge,White,Yes
Somewhat worried,Health Worker,Female,Little Knowledge,Hispanic,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Not worried at all,Health Worker,Male,Little Knowledge,White,Yes
Very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,Other or Multiple,Yes
Not very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Male,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Not a Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,Hispanic,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Good Knowledge,Hispanic,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Male,Little Knowledge,Hispanic,Yes
Somewhat worried,Health Worker,Male,Little Knowledge,Other or Multiple,No
Somewhat worried,Not a Health Worker,Female,Little Knowledge,Other or Multiple,Yes
Not very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,Hispanic,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Female,Little Knowledge,Hispanic,No
Very worried,Not a Health Worker,Female,Good Knowledge,White,No
Very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Not a Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Male,Little Knowledge,Hispanic,Yes
Very worried,Health Worker,Female,Good Knowledge,White,No
Very worried,Health Worker,Male,Little Knowledge,White,No
Not worried at all,Health Worker,Female,Good Knowledge,Other or Multiple,No
Somewhat worried,Not a Health Worker,Female,Good Knowledge,Black,No
Somewhat worried,Health Worker,Female,Little Knowledge,Hispanic,No
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Not very worried,Health Worker,Male,Little Knowledge,Other or Multiple,No
Not worried at all,Not a Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Male,Good Knowledge,Black,No
Not very worried,Not a Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,Other or Multiple,No
Somewhat worried,Health Worker,Male,No Knowledge,Black,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Male,Good Knowledge,White,Yes
Very worried,Health Worker,Female,Good Knowledge,Black,No
Not very worried,Health Worker,Male,Good Knowledge,White,No
Very worried,Health Worker,Male,Good Knowledge,White,No
Not very worried,Not a Health Worker,Male,Little Knowledge,Other or Multiple,No
Very worried,Health Worker,Female,Little Knowledge,Black,No
Somewhat worried,Health Worker,Female,Good Knowledge,Other or Multiple,No
Very worried,Health Worker,Female,Good Knowledge,White,No
Very worried,Health Worker,Male,Little Knowledge,Black,No
Somewhat worried,Health Worker,Female,No Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Not a Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Not a Health Worker,Female,Little Knowledge,Hispanic,No
Very worried,Health Worker,Female,No Knowledge,White,No
Not worried at all,Not a Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Not a Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Not a Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Not a Health Worker,Female,Good Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Not a Health Worker,Male,Good Knowledge,Other or Multiple,Yes
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Not a Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Good Knowledge,White,Yes
Somewhat worried,Health Worker,Male,Little Knowledge,White,Yes
Not very worried,Not a Health Worker,Male,Good Knowledge,White,No
Somewhat worried,Health Worker,Male,No Knowledge,Black,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not worried at all,Health Worker,Female,Good Knowledge,White,No
Not worried at all,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Not a Health Worker,Male,Good Knowledge,White,No
Very worried,Health Worker,Male,Good Knowledge,Hispanic,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,Black,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Male,No Knowledge,White,Yes
Not worried at all,Health Worker,Female,Good Knowledge,White,No
Very worried,Not a Health Worker,Female,Little Knowledge,White,No
Not very worried,Not a Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,Hispanic,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not worried at all,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
Very worried,Health Worker,Male,Good Knowledge,Other or Multiple,No
Somewhat worried,Health Worker,Female,No Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,Other or Multiple,No
Not very worried,Health Worker,Female,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Not a Health Worker,Female,Little Knowledge,Black,No
Not very worried,Not a Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,No Knowledge,White,No
Not very worried,Health Worker,Male,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,Yes
Not very worried,Not a Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,Hispanic,No
Not worried at all,Health Worker,Male,Good Knowledge,Other or Multiple,Yes
Somewhat worried,Health Worker,Female,No Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,Black,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,Other or Multiple,No
Not very worried,Health Worker,Female,Little Knowledge,White,Yes
Not very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Not worried at all,Health Worker,Male,Good Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,Other or Multiple,No
Very worried,Health Worker,Female,No Knowledge,White,No
Not very worried,Health Worker,Male,Good Knowledge,White,No
Not very worried,Health Worker,Male,Good Knowledge,Black,No
Not very worried,Health Worker,Female,Good Knowledge,White,Yes
Not very worried,Health Worker,Male,Little Knowledge,White,No
Not worried at all,Health Worker,Male,No Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Not worried at all,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Male,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,Other or Multiple,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,Yes
Not worried at all,Health Worker,Male,Little Knowledge,Hispanic,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Male,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Female,Little Knowledge,Black,No
Not worried at all,Health Worker,Male,No Knowledge,Other or Multiple,No
Very worried,Health Worker,Male,Good Knowledge,Other or Multiple,No
Not very worried,Not a Health Worker,Female,Good Knowledge,White,Yes
Not very worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Male,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,No Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Male,Good Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Male,Good Knowledge,White,Yes
Very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,Other or Multiple,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,Yes
Somewhat worried,Health Worker,Female,Good Knowledge,Other or Multiple,No
Somewhat worried,Health Worker,Female,Little Knowledge,Black,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,Hispanic,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,Yes
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,Yes
Not very worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Not worried at all,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Not a Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,Hispanic,No
Very worried,Health Worker,Male,Little Knowledge,Hispanic,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,Hispanic,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Not very worried,Health Worker,Male,Good Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,No Knowledge,White,Yes
Somewhat worried,Not a Health Worker,Male,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,No Knowledge,Black,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,Black,No
Not very worried,Not a Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Male,No Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,No Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,Black,No
Not worried at all,Health Worker,Male,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Female,No Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Male,Good Knowledge,White,No
Not very worried,Not a Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,No Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Male,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,White,No
Not worried at all,Health Worker,Male,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Male,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Male,Good Knowledge,White,Yes
Not very worried,Health Worker,Male,No Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Not a Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,Yes
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,Other or Multiple,No
Very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Not a Health Worker,Male,No Knowledge,White,No
Not worried at all,Health Worker,Male,Good Knowledge,Hispanic,Yes
Very worried,Health Worker,Female,Little Knowledge,Other or Multiple,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,Yes
Not very worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,Yes
Not very worried,Not a Health Worker,Female,No Knowledge,Other or Multiple,Yes
Not worried at all,Health Worker,Female,Good Knowledge,White,No
Not worried at all,Not a Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Good Knowledge,White,No
Not worried at all,Health Worker,Female,No Knowledge,Black,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Male,Little Knowledge,White,No
Not very worried,Not a Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,Hispanic,No
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Very worried,Health Worker,Female,Little Knowledge,Black,No
Not worried at all,Health Worker,Male,Good Knowledge,White,Yes
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Male,Good Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
Very worried,Health Worker,Male,Good Knowledge,White,Yes
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Not worried at all,Health Worker,Male,No Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,Hispanic,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,Yes
Not worried at all,Health Worker,Female,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,Other or Multiple,Yes
Somewhat worried,Health Worker,Female,Little Knowledge,Black,No
Somewhat worried,Health Worker,Male,Good Knowledge,Black,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Male,Good Knowledge,White,No
Not worried at all,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Good Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,Yes
Somewhat worried,Not a Health Worker,Female,Good Knowledge,Other or Multiple,No
Somewhat worried,Health Worker,Male,No Knowledge,Other or Multiple,Yes
Somewhat worried,Not a Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Male,Good Knowledge,Black,No
Not very worried,Not a Health Worker,Male,Good Knowledge,White,Yes
Very worried,Health Worker,Female,No Knowledge,White,No
Somewhat worried,Health Worker,Female,No Knowledge,Hispanic,No
Not very worried,Health Worker,Male,Little Knowledge,Black,No
Somewhat worried,Not a Health Worker,Female,Good Knowledge,White,No
Very worried,Not a Health Worker,Male,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Not a Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Not a Health Worker,Female,Good Knowledge,White,No
Not worried at all,Health Worker,Male,Little Knowledge,White,Yes
Very worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Male,Little Knowledge,White,Yes
Not worried at all,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Female,Good Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,Yes
Very worried,Health Worker,Female,Good Knowledge,Black,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Male,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,Other or Multiple,No
Not very worried,Health Worker,Male,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Male,Good Knowledge,White,No
Not worried at all,Health Worker,Male,Little Knowledge,White,Yes
Very worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,Black,No
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Not worried at all,Health Worker,Male,Little Knowledge,White,Yes
Somewhat worried,Health Worker,Female,Little Knowledge,Other or Multiple,No
Very worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,Yes
Not very worried,Health Worker,Male,Good Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Male,Good Knowledge,Other or Multiple,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Male,Good Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,White,Yes
Somewhat worried,Not a Health Worker,Female,Good Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,Black,No
Not worried at all,Health Worker,Female,Little Knowledge,Black,No
Not worried at all,Health Worker,Female,Good Knowledge,White,No
Not worried at all,Health Worker,Male,No Knowledge,White,Yes
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Not a Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,Other or Multiple,No
Somewhat worried,Health Worker,Male,No Knowledge,White,Yes
Not worried at all,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Male,No Knowledge,Hispanic,Yes
Very worried,Health Worker,Female,Little Knowledge,White,Yes
Not worried at all,Not a Health Worker,Female,Little Knowledge,White,Yes
Very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,Black,No
Not very worried,Health Worker,Female,Little Knowledge,White,Yes
Very worried,Health Worker,Female,Little Knowledge,White,No
Not worried at all,Health Worker,Female,Little Knowledge,Black,Yes
Not worried at all,Health Worker,Male,No Knowledge,White,Yes
Somewhat worried,Not a Health Worker,Male,Good Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Somewhat worried,Not a Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Male,No Knowledge,Hispanic,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Not a Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,Other or Multiple,No
Very worried,Health Worker,Male,Little Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,Other or Multiple,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Very worried,Health Worker,Female,No Knowledge,Black,Yes
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,Yes
Very worried,Health Worker,Male,Good Knowledge,White,No
Not worried at all,Health Worker,Male,Good Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Not a Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Not a Health Worker,Female,Good Knowledge,White,No
Not worried at all,Health Worker,Female,No Knowledge,Black,No
Very worried,Health Worker,Female,Good Knowledge,Other or Multiple,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
Very worried,Health Worker,Female,Good Knowledge,Hispanic,No
Very worried,Health Worker,Male,No Knowledge,Hispanic,No
Somewhat worried,Health Worker,Male,Good Knowledge,White,No
Not worried at all,Health Worker,Female,No Knowledge,White,No
Somewhat worried,Health Worker,Female,No Knowledge,White,No
Very worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Not worried at all,Not a Health Worker,Female,Little Knowledge,Hispanic,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,Yes
Not very worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,Black,Yes
Somewhat worried,Health Worker,Male,Little Knowledge,Black,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,White,No
Somewhat worried,Health Worker,Female,Good Knowledge,Other or Multiple,No
Not very worried,Health Worker,Male,Little Knowledge,White,Yes
Not very worried,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,Hispanic,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Not worried at all,Health Worker,Female,Good Knowledge,White,No
Somewhat worried,Health Worker,Female,Little Knowledge,White,Yes
Not very worried,Health Worker,Female,Little Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Female,Little Knowledge,Other or Multiple,No
Not worried at all,Health Worker,Male,Little Knowledge,Other or Multiple,Yes
Very worried,Health Worker,Female,Good Knowledge,White,No
Not very worried,Health Worker,Male,Little Knowledge,White,No
Not very worried,Health Worker,Female,Good Knowledge,White,No
